image_path,compound_id
JACS_2016_3_crop2.jpg,7-TfOH
JACS_2020_2_crop0.jpg,2a
JACS_2016_1_crop0.jpg,The compound ID for the given structure is 3-Bromo-4-(tert-butyldimethylsilyloxy)bromobenzene.
NATCOM_2019_4_crop1.jpg,1bc
NATCOM_2019_1_crop2.jpg,3
SCIENCE_2022_2_crop1.jpg,rac-2a
NATCOM_2023_1_crop0.jpg,"(S,S)-3h"
CCSC_2021_5_crop3.jpg,3a
NATCOM_2023_2_crop0.jpg,"The compound ID for the given chemical structure is (R,S)-3h."
CCSC_2021_6_crop0.jpg,9
NATCOM_2023_1_crop6.jpg,1h
CCSC_2021_5_crop2.jpg,6a
JACS_2020_5_crop2.jpg,(R)-4a
JACS_2022_5_crop5.jpg,1d
JACS_2022_3_crop0.jpg,S6a
JACS_2020_6_crop0.jpg,2a
angew_2020_3_crop2.jpg,1a
JACS_2016_5_crop4.jpg,B'
NATCOM_2019_1_crop1.jpg,2
NATCOM_2019_5_crop2.jpg,1b
JACS_2016_4_crop0.jpg,2b
JACS_2020_2_crop3.jpg,(R)-4a
JACS_2016_1_crop2.jpg,2
CCSC_2021_6_crop1.jpg,5h
JACS_2022_5_crop1.jpg,3ao-D4
JACS_2020_3_crop2.jpg,3a
SCIENCE_2022_1_crop0.jpg,"The compound ID for the given structure is ""rac-2a""."
NATCOM_2023_1_crop1.jpg,"The compound ID for the given chemical structure is (S,R)-3h."
JACS_2022_2_crop3.jpg,2a
JACS_2016_5_crop1.jpg,"The compound shown in the image is sebacic acid, which has the compound ID ""110-20-3""."
angew_2020_2_crop0.jpg,2a
JACS_2016_4_crop1.jpg,A
angew_2020_1_crop3.jpg,1a
NATCOM_2022_1_crop0.jpg,1a
JACS_2022_5_crop0.jpg,2d
NATCOM_2023_4_crop1.jpg,3a
angew_2020_2_crop1.jpg,1aa
JACS_2022_3_crop1.jpg,6a
JACS_2020_5_crop0.jpg,2a
CCSC_2021_4_crop1.jpg,3a
JACS_2016_2_crop0.jpg,1b
JACS_2022_2_crop0.jpg,6a
angew_2020_1_crop1.jpg,1aa
SCIENCE_2022_3_crop1.jpg,S1
JACS_2016_2_crop1.jpg,2a
NATCOM_2019_7_crop0.jpg,1ad
JACS_2022_1_crop0.jpg,1a
CCSC_2021_2_crop3.jpg,3a
SCIENCE_2022_1_crop1.jpg,(R)-2a
JACS_2020_4_crop0.jpg,2a
JACS_2020_1_crop1.jpg,1d
CCSC_2021_3_crop3.jpg,3a
JACS_2022_6_crop1.jpg,2a-D5
JACS_2022_1_crop1.jpg,3a
NATCOM_2019_4_crop0.jpg,1c
CCSC_2021_3_crop0.jpg,2a
CCSC_2021_4_crop0.jpg,2a
angew_2020_3_crop1.jpg,1aa
NATCOM_2019_3_crop2.jpg,"The compound ID for the given chemical structure is ""3""."
JACS_2016_3_crop1.jpg,3a
SCIENCE_2022_6_crop1.jpg,3
SCIENCE_2022_5_crop1.jpg,3
NATCOM_2023_1_crop3.jpg,2a
JACS_2020_4_crop1.jpg,3b
JACS_2022_6_crop0.jpg,2a-D3
SCIENCE_2022_4_crop1.jpg,S2
NATCOM_2023_3_crop0.jpg,"The compound ID for the given chemical structure is not explicitly shown in the image. However, based on the structure and the information provided (yield and ee), this appears to be a specific enantiomer of a trifluoromethyl-containing ester compound. Without additional context or a database to reference, I cannot definitively assign a compound ID to this structure. If this is from a specific research paper or database, you would need to refer to that source to find the exact compound ID."
CCSC_2021_8_crop2.jpg,5a
CCSC_2021_7_crop0.jpg,4a
JACS_2016_1_crop1.jpg,4
JACS_2020_2_crop1.jpg,3a
SCIENCE_2022_3_crop0.jpg,S2
CCSC_2021_7_crop3.jpg,10
NATCOM_2023_3_crop1.jpg,2a
CCSC_2021_1_crop3.jpg,3a
NATCOM_2022_1_crop1.jpg,2a
CCSC_2021_5_crop1.jpg,7a
NATCOM_2019_5_crop1.jpg,1d
CCSC_2021_2_crop2.jpg,5a
angew_2020_3_crop0.jpg,2a
NATCOM_2023_2_crop5.jpg,2a
JACS_2020_3_crop0.jpg,2a
JACS_2020_5_crop1.jpg,3b
SCIENCE_2022_2_crop0.jpg,(R)-2a
JACS_2022_5_crop2.jpg,2a-D3
NATCOM_2023_2_crop3.jpg,"The compound ID for the given chemical structure is (R,R)-3h."
JACS_2022_1_crop2.jpg,2a
NATCOM_2019_7_crop2.jpg,1d
NATCOM_2023_4_crop2.jpg,5b
angew_2020_1_crop0.jpg,2a
NATCOM_2023_3_crop3.jpg,11
CCSC_2021_1_crop0.jpg,4a
SCIENCE_2022_4_crop0.jpg,2
SCIENCE_2022_5_crop0.jpg,5
NATCOM_2019_6_crop1.jpg,1ac
SCIENCE_2022_6_crop0.jpg,2
JACS_2016_3_crop0.jpg,4a
NATCOM_2019_7_crop1.jpg,1a
